Region,Name,Epic Name
Asia,Arius,
Asia,Banny,TOP_Banny Iwnl
Asia,bell,
Asia,FaxFox,Can't type it. 
Asia,Flame,TriggerQQ Flame
Asia,Hood.J,Code Meta-Hood.J
Asia,Maufin,
Asia,Peterpan,Meta Peterpan
Asia,Scarlet,Scarlët
Asia,Takamura,Cant spell
Asia,Uniq,TriggerQQ Uniq
Asia,Xmende,Newbee_xMende
Asia,XXM,NewbeeXXM
Brazil,drakoNz,dk iwnl
Brazil,k1ng,9z King
Brazil,kurtz,Kurtz
Brazil,Lasers,Lasers is bad
Brazil,Leleo,Code Leleo
Brazil,NICKS,CODE NICKSSS
Brazil,xOwN,xown iwnl-
CHINA,Evilmare,
CHINA,KBB,
CHINA,YuWang,
Europe,4zr,BTL 4zr
Europe,7ssk7,VP 7ssk7
Europe,Airwaks,Solary Airwaks
Europe,Aqua,COOLER Aqua
Europe,ÃRG,ÃRG
Europe,BadSniper,NotBadSniper
Europe,BELAEU,hREDS BELAEU
Europe,Benjyfishy,NRG Benjyfishy
Europe,BlastR,TrainH BlastRR
Europe,Blaxou,LeStream Blaxou
Europe,Chapix,VHV Chapix
Europe,CoreGamingg,TTVCoreGamingg
Europe,Crue,VHV Crue
Europe,Deadra,
Europe,Derox,Derox. 
Europe,DiegoGB,Diego uwu
Europe,Domentos,Secret_Domentos
Europe,Emqu,Emqu
Europe,Endretta,
Europe,fwexY,Gambit.fwexY
Europe,Hunter,Solary Hunter
Europe,Issa,Ghost
Europe,itemm,E11 Itemm
Europe,Jamside,VP JAMSIDE
Europe,JarkoS,
Europe,K1nzell,Atlantis K1nzell
Europe,Kinstaar,Solary Kinstaar
Europe,Klusia,
Europe,LÐµtshe,
Europe,LeftEye,RBK LeftEye
Europe,letw1k3,Gambit.letw1k3
Europe,Luki,LuKi tjk
Europe,Lygth,HORT_LYGTH
Europe,M11Z,
Europe,mÄrteeá¹‰eu,
Europe,Mexe,Lootboy Mexe
Europe,Mitr0,Mitr0
Europe,Mongraal,Secret_Mongraal
Europe,MrSavageM,NRG MrSavageM
Europe,Nayte,LeStream Nayte
Europe,Nikof,Solary Nikof
Europe,Noward,Norward.
Europe,Nyhrox,COOLER Nyhrox
Europe,Oslo,Oslo.
Europe,Prisi0n3r0,TQ Prisi0n3r0
Europe,Quinten,
Europe,RedRush,Eon RedRush
Europe,Robabz,TrainH Robabz
Europe,Rojo,Rojo
Europe,Skailereu,Skailereu
Europe,Skite,
Europe,Skram,Lootboy Skram
Europe,Smeef,Fnatic Smeef
Europe,Stompy,E11 Stompy
Europe,Tchub,Tchub_
Europe,Teeq,dMind.Teeq
Europe,Th0masHD,
Europe,Tschinken,E11 Tschiiinken
Europe,Tuckz,Atlantis Tuckz
Europe,Vato,LeStream Vato
Europe,Vorwenn,FaZe Vorwenn
Europe,Wakie,Eon Wakie
Europe,Wolfiez,
Europe,Znappy,Eon Znappy
NA East,Aspect,CODE Sen-Aspect
NA East,Astonish,Astonish
NA East,Bizzle,Ghost Bizzle
NA East,BlooTea,E11 BlooTea
NA East,Brush,
NA East,Bucke,Envy Bucke
NA East,Bugha,SEN Bugha
NA East,Calculator,Calculator
NA East,Ceice,100T Ceice
NA East,Chenkinz,Chenkinz
NA East,CizLucky,
NA East,ClarityG,RS ClarityG
NA East,Clix,MSF Clix
NA East,Comadon,TSM_Comadon
NA East,Crimz,
NA East,Dubs,FaZe Dubs.
NA East,Elevate,100T Elevate
NA East,Fatch,KNG Fatch.
NA East,FunkBomb,FaZCe Funk
NA East,Hornet,
NA East,Keys,KeysFN
NA East,Klass,100T Klass
NA East,kolorfull,RS Kolorful
NA East,Kreo,LZR Kreo
NA East,Lanjok,coL Lanjok
NA East,LeNain,Envy LeNain
NA East,Luneze,Thiccboy Lunze
NA East,MackWood,coL Mackwood
NA East,Megga,FaZe Megga.
NA East,Psalm,CLG Psalm
NA East,Punisher,coL Punisher
NA East,RogueShark,RogueShark_
NA East,Ronaldo,Code Ronaldo
NA East,Saf,
NA East,Sceptic,
NA East,Spadess,
NA East,Tyler15,
NA East,Unknown,KNG Unknown
NA East,Vinny1x,TSM_Vinny1x
NA East,Vivid,Liquid Vivid
NA East,Zayt,NRG Zayt
NA East,Zexrow,TSM_Zexrow
NA West,4DRStorm,4DRStorm.
NA West,Arkhram,Arkhram1x
NA West,Aydan,Ghost Aydan
NA West,Barl,
NA West,EpikWhale,
NA West,Falconer,
NA West,Herrions,
NA West,Jay,KNG Jay.
NA West,karhu,Karhu
NA West,Leno,
NA West,little,KNG Little
NA West,Pika,1400 Pika
NA West,Pzuhs,USE CODE Pzuhs
NA West,Rhux,1400 Rhux uwu
NA West,Riversan,Liquid Riversan
NA West,Sean,Ghost Sean
NA West,snow,Snow xd
Oceania,Cat,Can not spell
Oceania,hype,
Oceania,Link,Link
Oceania,Parpy,Parpy
Oceania,Serpennt,
Oceania,slaya,Slaya
Oceania,sozmann,cant spell
Oceania,Twizz,Code Twizz
Oceania,volx,Volx
Oceania,x2twins Jordan,Twins iwnl
